item_name,date,sale_units,stock_level,price,cost,stock_apple,stock_banana,stock_orange,stock_cucumber,stock_okra,stock_potato,stock_tomato,profit
Tropical Fruit Salad,2010-01-01,52,58,135,81,8700,5800,4060,4350,1450,6960,4930,2322
Garden Vegetable Medley,2010-01-01,42,50,130,78,7500,5000,3500,3750,1250,6000,4250,1560
Hearty Potato Curry,2010-01-01,59,67,164,98,10050,6700,4690,5025,1675,8040,5695,3110
Fruity Veggie Smoothie,2010-01-01,57,68,187,112,10200,6800,4760,5100,1700,8160,5780,3043
Spicy Veggie Stir-Fry,2010-01-01,44,49,189,113,7350,4900,3430,3675,1225,5880,4165,2779
Tropical Fruit Salad,2010-01-02,61,71,135,81,10650,7100,4970,5325,1775,8520,6035,2484
Garden Vegetable Medley,2010-01-02,68,80,130,78,12000,8000,5600,6000,2000,9600,6800,2600
Hearty Potato Curry,2010-01-02,43,50,164,98,7500,5000,3500,3750,1250,6000,4250,2152
Fruity Veggie Smoothie,2010-01-02,48,54,187,112,8100,5400,3780,4050,1350,6480,4590,2928
Spicy Veggie Stir-Fry,2010-01-02,46,53,189,113,7950,5300,3710,3975,1325,6360,4505,2705
Tropical Fruit Salad,2010-01-03,56,67,135,81,10050,6700,4690,5025,1675,8040,5695,2133
Garden Vegetable Medley,2010-01-03,57,66,130,78,9900,6600,4620,4950,1650,7920,5610,2262
Hearty Potato Curry,2010-01-03,44,49,164,98,7350,4900,3430,3675,1225,5880,4165,2414
Fruity Veggie Smoothie,2010-01-03,45,53,187,112,7950,5300,3710,3975,1325,6360,4505,2479
Spicy Veggie Stir-Fry,2010-01-03,57,66,189,113,9900,6600,4620,4950,1650,7920,5610,3315
Tropical Fruit Salad,2010-01-04,49,54,135,81,8100,5400,3780,4050,1350,6480,4590,2241
Garden Vegetable Medley,2010-01-04,41,45,130,78,6750,4500,3150,3375,1125,5400,3825,1820
Hearty Potato Curry,2010-01-04,58,66,164,98,9900,6600,4620,4950,1650,7920,5610,3044
Fruity Veggie Smoothie,2010-01-04,54,62,187,112,9300,6200,4340,4650,1550,7440,5270,3154
Spicy Veggie Stir-Fry,2010-01-04,65,72,189,113,10800,7200,5040,5400,1800,8640,6120,4149
Tropical Fruit Salad,2010-01-05,42,46,135,81,6900,4600,3220,3450,1150,5520,3910,1944
Garden Vegetable Medley,2010-01-05,65,74,130,78,11100,7400,5180,5550,1850,8880,6290,2678
Hearty Potato Curry,2010-01-05,70,77,164,98,11550,7700,5390,5775,1925,9240,6545,3934
Fruity Veggie Smoothie,2010-01-05,69,79,187,112,11850,7900,5530,5925,1975,9480,6715,4055
Spicy Veggie Stir-Fry,2010-01-05,45,52,189,113,7800,5200,3640,3900,1300,6240,4420,2629
Tropical Fruit Salad,2010-01-06,63,72,135,81,10800,7200,5040,5400,1800,8640,6120,2673
Garden Vegetable Medley,2010-01-06,54,60,130,78,9000,6000,4200,4500,1500,7200,5100,2340
Hearty Potato Curry,2010-01-06,65,74,164,98,11100,7400,5180,5550,1850,8880,6290,3408
Fruity Veggie Smoothie,2010-01-06,52,61,187,112,9150,6100,4270,4575,1525,7320,5185,2892
Spicy Veggie Stir-Fry,2010-01-06,69,75,189,113,11250,7500,5250,5625,1875,9000,6375,4566
Tropical Fruit Salad,2010-01-07,51,57,135,81,8550,5700,3990,4275,1425,6840,4845,2268
Garden Vegetable Medley,2010-01-07,52,57,130,78,8550,5700,3990,4275,1425,6840,4845,2314
Hearty Potato Curry,2010-01-07,68,78,164,98,11700,7800,5460,5850,1950,9360,6630,3508
