item_name,date,sale_units,stock_level,price,cost,stock_apple,stock_banana,stock_orange,stock_cucumber,stock_okra,stock_potato,stock_tomato,profit
Tropical Fruit Salad,2010-01-01,48,56,135,81,8700,5800,4060,4350,1450,6960,4930,2322
Garden Vegetable Medley,2010-01-01,37,50,130,78,7500,5000,3500,3750,1250,6000,4250,1560
Hearty Potato Curry,2010-01-01,55,69,164,98,10050,6700,4690,5025,1675,8040,5695,3110
Fruity Veggie Smoothie,2010-01-01,56,65,187,112,10200,6800,4760,5100,1700,8160,5780,3043
Spicy Veggie Stir-Fry,2010-01-01,42,49,189,113,7350,4900,3430,3675,1225,5880,4165,2779
Tropical Fruit Salad,2010-01-02,77,100,135,81,10650,7100,4970,5325,1775,8520,6035,2484
Garden Vegetable Medley,2010-01-02,80,115,130,78,12000,8000,5600,6000,2000,9600,6800,2600
Hearty Potato Curry,2010-01-02,55,76,164,98,7500,5000,3500,3750,1250,6000,4250,2152
Fruity Veggie Smoothie,2010-01-02,56,84,187,112,8100,5400,3780,4050,1350,6480,4590,2928
Spicy Veggie Stir-Fry,2010-01-02,58,73,189,113,7950,5300,3710,3975,1325,6360,4505,2705
Tropical Fruit Salad,2010-01-03,70,91,135,81,10050,6700,4690,5025,1675,8040,5695,2133
Garden Vegetable Medley,2010-01-03,70,100,130,78,9900,6600,4620,4950,1650,7920,5610,2262
Hearty Potato Curry,2010-01-03,54,70,164,98,7350,4900,3430,3675,1225,5880,4165,2414
Fruity Veggie Smoothie,2010-01-03,54,73,187,112,7950,5300,3710,3975,1325,6360,4505,2479
Spicy Veggie Stir-Fry,2010-01-03,65,95,189,113,9900,6600,4620,4950,1650,7920,5610,3315
Tropical Fruit Salad,2010-01-04,47,53,135,81,8100,5400,3780,4050,1350,6480,4590,2241
Garden Vegetable Medley,2010-01-04,40,46,130,78,6750,4500,3150,3375,1125,5400,3825,1820
Hearty Potato Curry,2010-01-04,52,66,164,98,9900,6600,4620,4950,1650,7920,5610,3044
