item_name,month,year,sale_units,price_per_unit,stock_level,stock_apple,sale_apple,stock_banana,sale_banana,stock_cucumber,sale_cucumber,stock_okra,sale_okra,stock_oranges,sale_oranges,stock_patato,sale_patato,stock_tomato,sale_tomato
Fruity Veggie Smoothie,December,2021,98,722,131,13100,9800,13100,9800,9825,7350,0,0,17030,12740,0,0,0,0
Spicy Veggie Stir-Fry,March,2022,69,759,124,0,0,0,0,9300,5175,7440,4140,0,0,18600,10350,6200,3450
Hearty Potato Curry,September,2022,61,840,105,0,0,0,0,0,0,6300,3660,0,0,15750,9150,5250,3050
Tropical Fruit Salad,October,2020,84,541,124,18600,12600,12400,8400,0,0,0,0,16120,10920,0,0,0,0
Fruity Veggie Smoothie,June,2024,93,951,141,14100,9300,14100,9300,10575,6975,0,0,18330,12090,0,0,0,0
Fruity Veggie Smoothie,November,2023,87,860,150,15000,8700,15000,8700,11250,6525,0,0,19500,11310,0,0,0,0
Fruity Veggie Smoothie,May,2021,85,563,150,15000,8500,15000,8500,11250,6375,0,0,19500,11050,0,0,0,0
Garden Vegetable Medley,February,2024,70,1110,101,0,0,0,0,7575,5250,6060,4200,0,0,0,0,5050,3500
Tropical Fruit Salad,June,2020,85,604,113,16950,12750,11300,8500,0,0,0,0,14690,11050,0,0,0,0
Hearty Potato Curry,August,2024,72,759,126,0,0,0,0,0,0,7560,4320,0,0,18900,10800,6300,3600
Fruity Veggie Smoothie,October,2024,81,1408,126,12600,8100,12600,8100,9450,6075,0,0,16380,10530,0,0,0,0
Tropical Fruit Salad,October,2024,84,1119,116,17400,12600,11600,8400,0,0,0,0,15080,10920,0,0,0,0
Fruity Veggie Smoothie,March,2023,85,752,138,13800,8500,13800,8500,10350,6375,0,0,17940,11050,0,0,0,0
Tropical Fruit Salad,October,2023,72,933,112,16800,10800,11200,7200,0,0,0,0,14560,9360,0,0,0,0
Fruity Veggie Smoothie,March,2020,85,443,141,14100,8500,14100,8500,10575,6375,0,0,18330,11050,0,0,0,0
Fruity Veggie Smoothie,June,2023,82,793,149,14900,8200,14900,8200,11175,6150,0,0,19370,10660,0,0,0,0
Spicy Veggie Stir-Fry,February,2024,67,876,111,0,0,0,0,8325,5025,6660,4020,0,0,16650,10050,5550,3350
Fruity Veggie Smoothie,August,2022,82,680,143,14300,8200,14300,8200,10725,6150,0,0,18590,10660,0,0,0,0
Hearty Potato Curry,May,2022,79,807,104,0,0,0,0,0,0,6240,4740,0,0,15600,11850,5200,3950
Hearty Potato Curry,October,2023,72,1162,112,0,0,0,0,0,0,6720,4320,0,0,16800,10800,5600,3600
Garden Vegetable Medley,July,2021,52,685,108,0,0,0,0,8100,3900,6480,3120,0,0,0,0,5400,2600
Garden Vegetable Medley,June,2024,54,964,93,0,0,0,0,6975,4050,5580,3240,0,0,0,0,4650,2700
Spicy Veggie Stir-Fry,October,2020,82,462,107,0,0,0,0,8025,6150,6420,4920,0,0,16050,12300,5350,4100
Spicy Veggie Stir-Fry,November,2020,84,590,119,0,0,0,0,8925,6300,7140,5040,0,0,17850,12600,5950,4200
Garden Vegetable Medley,September,2023,56,1118,96,0,0,0,0,7200,4200,5760,3360,0,0,0,0,4800,2800
Tropical Fruit Salad,July,2023,80,829,120,18000,12000,12000,8000,0,0,0,0,15600,10400,0,0,0,0
Spicy Veggie Stir-Fry,June,2023,68,686,105,0,0,0,0,7875,5100,6300,4080,0,0,15750,10200,5250,3400
Spicy Veggie Stir-Fry,August,2024,71,980,125,0,0,0,0,9375,5325,7500,4260,0,0,18750,10650,6250,3550
Hearty Potato Curry,February,2023,80,669,126,0,0,0,0,0,0,7560,4800,0,0,18900,12000,6300,4000
Fruity Veggie Smoothie,November,2024,89,1032,123,12300,8900,12300,8900,9225,6675,0,0,15990,11570,0,0,0,0
Tropical Fruit Salad,June,2021,84,666,134,20100,12600,13400,8400,0,0,0,0,17420,10920,0,0,0,0
Hearty Potato Curry,September,2023,66,1008,130,0,0,0,0,0,0,7800,3960,0,0,19500,9900,6500,3300
Tropical Fruit Salad,October,2022,74,778,117,17550,11100,11700,7400,0,0,0,0,15210,9620,0,0,0,0
Tropical Fruit Salad,January,2022,87,926,119,17850,13050,11900,8700,0,0,0,0,15470,11310,0,0,0,0
Fruity Veggie Smoothie,December,2022,95,866,125,12500,9500,12500,9500,9375,7125,0,0,16250,12350,0,0,0,0
Garden Vegetable Medley,December,2024,58,1213,101,0,0,0,0,7575,4350,6060,3480,0,0,0,0,5050,2900
Tropical Fruit Salad,August,2020,90,698,117,17550,13500,11700,9000,0,0,0,0,15210,11700,0,0,0,0
Garden Vegetable Medley,July,2022,65,822,116,0,0,0,0,8700,4875,6960,3900,0,0,0,0,5800,3250
