item_name,month,year,sale_units,price_per_unit,stock_level,stock_apple,sale_apple,stock_banana,sale_banana,stock_cucumber,sale_cucumber,stock_okra,sale_okra,stock_oranges,sale_oranges,stock_patato,sale_patato,stock_tamto,sale_tamto
Tropical Fruit Salad,January,2020,90,418,128,19200,13500,12800,9000,0,0,0,0,16640,11700,0,0,0,0
Tropical Fruit Salad,February,2020,71,635,132,19800,10650,13200,7100,0,0,0,0,17160,9230,0,0,0,0
Tropical Fruit Salad,March,2020,89,469,127,19050,13350,12700,8900,0,0,0,0,16510,11570,0,0,0,0
Tropical Fruit Salad,April,2020,72,514,130,19500,10800,13000,7200,0,0,0,0,16900,9360,0,0,0,0
Tropical Fruit Salad,May,2020,89,386,112,16800,13350,11200,8900,0,0,0,0,14560,11570,0,0,0,0
Tropical Fruit Salad,June,2020,70,697,116,17400,10500,11600,7000,0,0,0,0,15080,9100,0,0,0,0
Tropical Fruit Salad,July,2020,73,521,132,19800,10950,13200,7300,0,0,0,0,17160,9490,0,0,0,0
Tropical Fruit Salad,August,2020,79,432,123,18450,11850,12300,7900,0,0,0,0,15990,10270,0,0,0,0
Tropical Fruit Salad,September,2020,90,521,138,20700,13500,13800,9000,0,0,0,0,17940,11700,0,0,0,0
Tropical Fruit Salad,October,2020,89,472,121,18150,13350,12100,8900,0,0,0,0,15730,11570,0,0,0,0
Tropical Fruit Salad,November,2020,88,465,133,19950,13200,13300,8800,0,0,0,0,17290,11440,0,0,0,0
Tropical Fruit Salad,December,2020,78,388,130,19500,11700,13000,7800,0,0,0,0,16900,10140,0,0,0,0
Tropical Fruit Salad,January,2021,89,491,118,17700,13350,11800,8900,0,0,0,0,15340,11570,0,0,0,0
Tropical Fruit Salad,February,2021,86,762,122,18300,12900,12200,8600,0,0,0,0,15860,11180,0,0,0,0
Tropical Fruit Salad,March,2021,88,562,131,19650,13200,13100,8800,0,0,0,0,17030,11440,0,0,0,0
Tropical Fruit Salad,April,2021,76,616,128,19200,11400,12800,7600,0,0,0,0,16640,9880,0,0,0,0
Tropical Fruit Salad,May,2021,74,468,127,19050,11100,12700,7400,0,0,0,0,16510,9620,0,0,0,0
Tropical Fruit Salad,June,2021,77,836,127,19050,11550,12700,7700,0,0,0,0,16510,10010,0,0,0,0
Tropical Fruit Salad,July,2021,87,625,111,16650,13050,11100,8700,0,0,0,0,14430,11310,0,0,0,0
Tropical Fruit Salad,August,2021,85,438,115,17250,12750,11500,8500,0,0,0,0,14950,11050,0,0,0,0
Tropical Fruit Salad,September,2021,72,625,124,18600,10800,12400,7200,0,0,0,0,16120,9360,0,0,0,0
Tropical Fruit Salad,October,2021,83,566,125,18750,12450,12500,8300,0,0,0,0,16250,10790,0,0,0,0
Tropical Fruit Salad,November,2021,90,533,123,18450,13500,12300,9000,0,0,0,0,15990,11700,0,0,0,0
Tropical Fruit Salad,December,2021,74,586,136,20400,11100,13600,7400,0,0,0,0,17680,9620,0,0,0,0
Tropical Fruit Salad,January,2022,77,587,112,16800,11550,11200,7700,0,0,0,0,14560,10010,0,0,0,0
Tropical Fruit Salad,February,2022,72,914,124,18600,10800,12400,7200,0,0,0,0,16120,9360,0,0,0,0
Tropical Fruit Salad,March,2022,90,636,132,19800,13500,13200,9000,0,0,0,0,17160,11700,0,0,0,0
Tropical Fruit Salad,April,2022,89,739,117,17550,13350,11700,8900,0,0,0,0,15210,11570,0,0,0,0
Tropical Fruit Salad,May,2022,76,663,127,19050,11400,12700,7600,0,0,0,0,16510,9880,0,0,0,0
Tropical Fruit Salad,June,2022,73,1003,133,19950,10950,13300,7300,0,0,0,0,17290,9490,0,0,0,0
Tropical Fruit Salad,July,2022,77,750,128,19200,11550,12800,7700,0,0,0,0,16640,10010,0,0,0,0
Tropical Fruit Salad,August,2022,71,525,124,18600,10650,12400,7100,0,0,0,0,16120,9230,0,0,0,0
Tropical Fruit Salad,September,2022,90,750,114,17100,13500,11400,9000,0,0,0,0,14820,11700,0,0,0,0
Tropical Fruit Salad,October,2022,79,679,134,20100,11850,13400,7900,0,0,0,0,17420,10270,0,0,0,0
Tropical Fruit Salad,November,2022,87,639,131,19650,13050,13100,8700,0,0,0,0,17030,11310,0,0,0,0
Tropical Fruit Salad,December,2022,76,609,128,19200,11400,12800,7600,0,0,0,0,16640,9880,0,0,0,0
Tropical Fruit Salad,January,2023,70,704,117,17550,10500,11700,7000,0,0,0,0,15210,9100,0,0,0,0
Tropical Fruit Salad,February,2023,71,1096,133,19950,10650,13300,7100,0,0,0,0,17290,9230,0,0,0,0
Tropical Fruit Salad,March,2023,80,763,124,18600,12000,12400,8000,0,0,0,0,16120,10400,0,0,0,0
Tropical Fruit Salad,April,2023,84,886,132,19800,12600,13200,8400,0,0,0,0,17160,10920,0,0,0,0
Tropical Fruit Salad,May,2023,83,795,136,20400,12450,13600,8300,0,0,0,0,17680,10790,0,0,0,0
Tropical Fruit Salad,June,2023,84,1203,112,16800,12600,11200,8400,0,0,0,0,14560,10920,0,0,0,0
Tropical Fruit Salad,July,2023,76,900,114,17100,11400,11400,7600,0,0,0,0,14820,9880,0,0,0,0
Tropical Fruit Salad,August,2023,79,591,114,17100,11850,11400,7900,0,0,0,0,14820,10270,0,0,0,0
Tropical Fruit Salad,September,2023,86,900,139,20850,12900,13900,8600,0,0,0,0,18070,11180,0,0,0,0
